id,group,claim,minted,corpus,instrument,metric_units,kind,real_check,verdict,note
L001,"A. self-play era (pre-Aug, headline rows)","The training machinery works: loop closes, PFTJ0002 byte-exact Rust/Python, backprop finite-difference verified",docs/plans/2026-07-07-guided-saturation-redesign.md (audit summary),none (code property),unit tests,boolean,n/a,no shader involved,HELD,Code-level fact; deleted with the RL apparatus.
L002,"A. self-play era (pre-Aug, headline rows)",The NNUE extraction head was dead in production (stale TRIC weights silently rejected; every kernel! fell back to a no-op model),docs/plans/2026-07-07-guided-saturation-redesign.md,none (code property),code inspection,boolean,n/a,"integration audit 2026-09-01: head OPT-IN, env var never set; #1093 deleted it",HELD,The strongest confirmation that no learned cost model ever changed a shipped kernel.
L003,"A. self-play era (pre-Aug, headline rows)","The RL/REINFORCE half cannot learn (deterministic policy, censored failures, advantage collapse)",docs/plans/2026-07-07-guided-saturation-redesign.md,n/a,estimator analysis,n/a,n/a,n/a,HELD,Methodological; no number to re-take.
L004,"A. self-play era (pre-Aug, headline rows)",kernel! is 4.9% over LLVM (Apr 2) — conflates e-graph rewrites with NNUE extraction,docs/plans/2026-07-07-guided-saturation-redesign.md (cites Apr 2 number),unrecorded,pre-timebase jit_bench,ns ratio (pre-41.67x timebase fix),synthetic,never re-taken on a shipped kernel,INSTRUMENT DEFECT,Absolute ns under-scaled 41.67x before 2026-07-20; corpus not named.
L005,"A. self-play era (pre-Aug, headline rows)",Feb 3-way: an overfit Judge beat HCE,docs/plans/2026-07-07-guided-saturation-redesign.md,unrecorded; harness + HCE deleted in April squash,deleted,unrecorded,synthetic,n/a,NEVER TESTED ON REAL,No number was ever written down; unrecoverable. A claim with no corpus named.
L006,"A. self-play era (pre-Aug, headline rows)","6-round train_unified run: speedup 1.05x -> 1.21x -> 1.07x, Judge MAE 1.637 -> 0.396 -> 0.559","project memory (nnue-training.md, Mar 27); no docs/results file",unrecorded,train_unified self-play,speedup (pre-timebase ns),synthetic,n/a,INSTRUMENT DEFECT,Pre-timebase-fix; REINFORCE estimator later ruled unsound; no committed artifact.
L007,"A. self-play era (pre-Aug, headline rows)","2026-07-08 3-way: NNUE/static 1.0669 (6.7% slower), static/no-swap 0.6676, NNUE extraction 31x dearer",docs/results/2026-07-08-extraction-3way.md,5 named toy kernels + 40 BwdGenerator,"bench_extraction_3way v1 (1-point equivalence, abs tol 0.2)",ns ratios (pre-41.67x timebase),toy/5-kernel,n/a,INSTRUMENT DEFECT,Restored as provenance only; H1/H2/H3 of the 08-05 audit all apply.
L008,"A. self-play era (pre-Aug, headline rows)",Phase 1 rule report: per-rule load-bearing ratios 10%-87% (labeler bound),docs/results/2026-07-08-rule-report.md,"5 hand-picked toy kernels, 61 rules",hindsight labeler,% of applications (count),toy/5-kernel,n/a,NEVER TESTED ON REAL,Doc itself: 'corpus-conditioned; rule-triage decisions require the real kernel population'.
L009,B. harness audit 2026-08-05,Bench correctness gate was 1 splatted point / 8 points at abs tol 0.2 against the same JIT; labels exploitable (H1/H2),docs/results/2026-08-05-bench-harness-integrity-audit.md,harness code,code audit,n/a,n/a,paper §4.2: replaced by scalar-f64 oracle + compositional bounds,HELD,Finding about an instrument; fixed before Round 2a.
L010,B. harness audit 2026-08-05,Timer quantization 41.67 ns/tick gives 20-40% error on 1-2 ns kernels; independent back-to-back calls measure throughput not latency (H3/H5),docs/results/2026-08-05-bench-harness-integrity-audit.md,harness code,code audit,n/a,n/a,2026-09-02 latency-prior remeasure: a NEW 4x lane/eval unit error was introduced by #1071,HELD,"The audit's own fixes (tick floor, chain serialization) landed; the 4x error is a later regression."
L011,C. extraction head / paper,"Censored runs: NNUE/static 0.9285 (nnue fail 41.7%), 1.0501 (fail 15%), 0.8815 (cross-form 16.7%) — self-invalidated",docs/results/journal.jsonl ts 1786294245/1786298796/1786298839; paper §4.4,DEV 392 (corpus_dev.bin a14bc941),bench_extraction_3way,geomean ns ratio,synthetic,n/a,HELD,Correctly refused by the gate pipeline; the two censored means bracket parity from both sides.
L012,C. extraction head / paper,"Round 1: NNUE/static 1.0181 [1.0106,1.0254] — INVALID (cross-form divergence 12.3%)",journal ts 1786732076; paper §5.5,DEV 392,bench_extraction_3way,geomean ns ratio,synthetic,n/a,HELD,Self-labelled invalid; correctly not used.
L013,C. extraction head / paper,"Round 2a: learned head TIES the latency table — NNUE/static 1.0037 [0.9982,1.0089], 719 pairs, A/A floor 0.07%","journal ts 1786997047; docs/paper/2026-08-egraph-nnue-parity.md §5.2 (NOT in this tree: closed branch claude/workshop-writeup, PR #1072 unmerged; in-repo successor docs/plans/2026-09-01-schedule-cost-model-denotation.md)","DEV 784 (dev=1daa131a), family-held-out; FINAL never opened","bench_extraction_3way (saturate=40, repeats=5, boot=10000)",geomean of per-kernel ns ratio INCLUDING 4.272 ns call overhead,synthetic,"never run on FINAL or any shipped kernel (paper §3, §8)",INSTRUMENT DEFECT,"Paper §5.0: ratio is (n+c)/(s+c), biased toward 1 — 'parity' is the reading most overstated; arms differ in search not only score; bootstrap resamples kernels not families."
L014,C. extraction head / paper,"Round 2b: contrastive objective regresses to 1.0153 [1.0097,1.0213], 1016 pairs; mechanism moved (57.2%) but only 39.2% of new substitutions won","paper §5.3 (R2B, carried from a session draft)",regenerated DEV 1120,bench_extraction_3way,geomean ns ratio incl. call overhead,synthetic,n/a,INSTRUMENT DEFECT,Journal line never committed; worktree gone; trainer had a backward_pairwise gradient bug (20% vs 5% tol). Not reproducible.
L015,C. extraction head / paper,"Round 3: trained embeddings give best calibration (rho 0.9887, MAE 0.133) and a confirmed regression 1.0082 [1.0031,1.0133]",journal ts 1788248059 (on branch); paper §5.4,DEV 784 byte-identical to R2a,bench_extraction_3way; machine loaded 9.45-14.11 (guide_headroom at 100% CPU),geomean ns ratio incl. call overhead,synthetic,n/a,INSTRUMENT DEFECT,Same overhead bias; 'regression from R2a' was never paired-tested (paper §5.0 threat 4); D3 per-kernel JSONL uncommitted.
L016,C. extraction head / paper,"Round 3 random-init: 1.0118 [1.0058,1.0182]; prior seed vs random init cannot be separated from label budget (8k vs 50k)",journal ts 1788231974 (branch); paper §5.4,DEV 784,bench_extraction_3way,geomean ns ratio,synthetic,n/a,INSTRUMENT DEFECT,Confounded by construction (paper's own reading 2).
L017,C. extraction head / paper,Calibration: NNUE Spearman 0.9887 vs static table 0.9438 vs bare op count 0.9486,paper §5.1/§6; NOTES §1.5 for the baselines,NNUE on DEV 784; baselines on Round-1 DEV 392,bootstrap_extraction_head,Spearman rho (log-ns),synthetic,"integration audit 2026-09-01 §Verdict: cross-population, tempers 'the table does 95%'",INSTRUMENT DEFECT,Cross-population Spearman; the 'table does 95%' folklore descends from this row.
L018,C. extraction head / paper,"Bootstrap learning curve: DEV MAE 0.184 -> 0.145 log-ns, rho 0.980 -> 0.9875 from 1k to 50k synthetic labels (R2a recipe)",journal ts 1786995939..1786996772,DEV 784,bootstrap_extraction_head,"MAE log-ns, Spearman",synthetic,n/a,NEVER TESTED ON REAL,"Labels minted by jit_bench in tile mode (64 tuples), which Horner/Estrin later showed INVERTS vs scanline."
L019,C. extraction head / paper,Skew fix moved DEV MAE 0.975 -> 0.181 and bias -0.886 -> +0.020: most of the model's apparent badness was our skew,journal ts 1786421873 vs 1786421923; paper §4.5,DEV 392/388,bootstrap_extraction_head,MAE log-ns,synthetic,n/a,HELD,A calibration fact on synthetics; no real-kernel consequence measured.
